Developer,Repo Name,Number of Stars
erikgrinaker,toydb,"Rust




        743




        31


        Built by

          




        308 stars today"
StateOfCalifornia,CalCAT,"R




        114




        48


        Built by

          








        34 stars today"
team-video,aviary.sh,"Shell




        844




        19


        Built by

          




        352 stars today"
FlameOfIgnis,Pwdb-Public,"705




        88


        Built by

          




        298 stars today"
felixge,fgprof,"Go




        948




        11


        Built by

          




        339 stars today"
LingCoder,OnJava8,"10,079




        2,939


        Built by

          








        101 stars today"
acidanthera,OpenCorePkg,"C




        3,132




        563


        Built by

          








        38 stars today"
tobspr,shapez.io,"JavaScript




        975




        245


        Built by

          








        93 stars today"
microsoft,PowerToys,"C++




        28,429




        1,497


        Built by

          








        388 stars today"
microsoft,fluentui-system-icons,"Swift




        875




        28


        Built by

          








        361 stars today"
coronalabs,corona,"C++




        977




        98


        Built by

          








        291 stars today"
donnemartin,data-science-ipython-notebooks,"Python




        18,828




        5,806


        Built by

          








        101 stars today"
RasaHQ,rasa,"Python




        9,045




        2,802


        Built by

          








        221 stars today"
rtcovidlive,covid-model,"Jupyter Notebook




        47




        11


        Built by

          




        23 stars today"
cypress-io,cypress,"JavaScript




        21,138




        1,266


        Built by

          








        55 stars today"
Deep-MI,FastSurfer,"Python




        90




        10


        Built by

          







        30 stars today"
meng-chuan,Unlock-netease-cloud-music,"JavaScript




        623




        76


        Built by

          




        80 stars today"
snori74,linuxupskillchallenge,"Shell




        305




        18


        Built by

          






        148 stars today"
awesome-selfhosted,awesome-selfhosted,"JavaScript




        46,069




        3,661


        Built by

          








        231 stars today"
fastai,numerical-linear-algebra,"Jupyter Notebook




        6,868




        1,758


        Built by

          








        92 stars today"
vtil-project,VTIL-Core,"C++




        332




        37


        Built by

          








        37 stars today"
googlesamples,arcore-depth-lab,"C#




        107




        9


        Built by

          




        45 stars today"
Anuken,Mindustry,"Java




        3,993




        916


        Built by

          








        31 stars today"
google,jax,"Python




        8,839




        702


        Built by

          








        43 stars today"
formik,formik,"TypeScript




        22,909




        1,695


        Built by

          








        57 stars today"
